timestamp,h11_h61,h12_h62,h13_h63,h14_h64
2025-11-26 12:50:17,99.99384,99.994624,99.994624,99.99384
2025-11-26 12:50:18,99.996864,99.996864,99.996864,99.996864
2025-11-26 12:50:19,99.996864,99.996864,99.996864,99.996864
2025-11-26 12:50:20,99.996864,99.996864,99.996864,99.996864
2025-11-26 12:50:21,99.99686712,99.99686712,99.99686712,99.99686712
2025-11-26 12:50:22,99.99552448,99.99474128,99.99552448,99.99474128
2025-11-26 12:50:23,99.99608392,99.99608392,99.99686712,99.99686712
2025-11-26 12:50:24,99.99686712,99.99686712,99.99686712,99.99686712
2025-11-26 12:50:25,99.996864,99.996864,99.996864,99.996864
2025-11-26 12:50:26,99.996864,99.99608392,99.99608392,99.996864
2025-11-26 12:50:27,99.996864,99.996864,99.996864,99.996864
2025-11-26 12:50:28,99.996864,99.996864,99.996864,99.996864
2025-11-26 12:50:29,99.99686712,99.99686712,99.99608392,99.99608392
2025-11-26 12:50:30,99.99686712,99.99686712,99.99686712,99.99686712
2025-11-26 12:50:31,99.99686712,99.99686712,99.99686712,99.99686712
2025-11-26 12:50:32,99.996864,99.996864,99.996864,99.996864
2025-11-26 12:50:33,99.996864,99.996864,99.996864,99.996864
2025-11-26 12:50:34,99.996864,99.996864,99.996864,99.996864
2025-11-26 12:50:35,99.996864,99.996864,99.996864,99.996864
2025-11-26 12:50:36,99.996864,99.996864,99.996864,99.996864
2025-11-26 12:50:37,99.996864,99.996864,99.996864,99.996864
2025-11-26 12:50:38,99.996864,99.996864,99.996864,99.996864
2025-11-26 12:50:39,99.99686712,99.99686712,99.99686712,99.99686712
2025-11-26 12:50:40,99.99686712,99.99686712,99.99686712,99.99686712
2025-11-26 12:50:41,99.99686712,99.99686712,99.99686712,99.99686712
2025-11-26 12:50:42,99.99686712,99.99686712,99.99686712,99.99686712
2025-11-26 12:50:43,99.99686712,99.99686712,99.99686712,99.99686712
2025-11-26 12:50:44,99.99686712,99.99686712,99.99686712,99.99686712
2025-11-26 12:50:45,99.99686712,99.99686712,99.99686712,99.99686712
2025-11-26 12:50:46,99.99686712,99.99686712,99.99686712,99.99686712
2025-11-26 12:50:47,99.99619584,99.99619584,99.99619584,99.99619584
2025-11-26 12:50:48,99.99686712,99.99686712,99.99686712,99.99686712
2025-11-26 12:50:49,99.99686712,99.99686712,99.99686712,99.99686712
2025-11-26 12:50:50,99.99686712,99.99686712,99.99686712,99.99686712
2025-11-26 12:50:51,99.99686712,99.99686712,99.99686712,99.99686712
2025-11-26 12:50:52,99.996864,99.996864,99.996864,99.996864
