ts_epoch,banda_delta_micro_longa__h11_h61,banda_delta_micro_longa__h12_h62,banda_delta_micro_longa__h13_h63,banda_delta_micro_longa__h14_h64,banda_media_Mbps__h11_h61,banda_media_Mbps__h12_h62,banda_media_Mbps__h13_h63,banda_media_Mbps__h14_h64,banda_media_curta_15s__h11_h61,banda_media_curta_15s__h12_h62,banda_media_curta_15s__h13_h63,banda_media_curta_15s__h14_h64,banda_media_longa_30s__h11_h61,banda_media_longa_30s__h12_h62,banda_media_longa_30s__h13_h63,banda_media_longa_30s__h14_h64,banda_media_micro_5s__h11_h61,banda_media_micro_5s__h12_h62,banda_media_micro_5s__h13_h63,banda_media_micro_5s__h14_h64,bdp__h11_h61,bdp__h12_h62,bdp__h13_h63,bdp__h14_h64,gargalo_Mbps__h11_h61,gargalo_Mbps__h12_h62,gargalo_Mbps__h13_h63,gargalo_Mbps__h14_h64,gargalo_min_curta_15s__h11_h61,gargalo_min_curta_15s__h12_h62,gargalo_min_curta_15s__h13_h63,gargalo_min_curta_15s__h14_h64,gargalo_min_longa_30s__h11_h61,gargalo_min_longa_30s__h12_h62,gargalo_min_longa_30s__h13_h63,gargalo_min_longa_30s__h14_h64,gargalo_min_micro_5s__h11_h61,gargalo_min_micro_5s__h12_h62,gargalo_min_micro_5s__h13_h63,gargalo_min_micro_5s__h14_h64,latencia_delta_micro_longa__h11_h61,latencia_delta_micro_longa__h12_h62,latencia_delta_micro_longa__h13_h63,latencia_delta_micro_longa__h14_h64,latencia_jitter_curta_15s__h11_h61,latencia_jitter_curta_15s__h12_h62,latencia_jitter_curta_15s__h13_h63,latencia_jitter_curta_15s__h14_h64,latencia_jitter_longa_30s__h11_h61,latencia_jitter_longa_30s__h12_h62,latencia_jitter_longa_30s__h13_h63,latencia_jitter_longa_30s__h14_h64,latencia_jitter_micro_5s__h11_h61,latencia_jitter_micro_5s__h12_h62,latencia_jitter_micro_5s__h13_h63,latencia_jitter_micro_5s__h14_h64,latencia_media_curta_15s__h11_h61,latencia_media_curta_15s__h12_h62,latencia_media_curta_15s__h13_h63,latencia_media_curta_15s__h14_h64,latencia_media_longa_30s__h11_h61,latencia_media_longa_30s__h12_h62,latencia_media_longa_30s__h13_h63,latencia_media_longa_30s__h14_h64,latencia_media_micro_5s__h11_h61,latencia_media_micro_5s__h12_h62,latencia_media_micro_5s__h13_h63,latencia_media_micro_5s__h14_h64,latencia_ms__h11_h61,latencia_ms__h12_h62,latencia_ms__h13_h63,latencia_ms__h14_h64,latencia_p95_curta_15s__h11_h61,latencia_p95_curta_15s__h12_h62,latencia_p95_curta_15s__h13_h63,latencia_p95_curta_15s__h14_h64,latencia_p95_longa_30s__h11_h61,latencia_p95_longa_30s__h12_h62,latencia_p95_longa_30s__h13_h63,latencia_p95_longa_30s__h14_h64,latencia_p95_micro_5s__h11_h61,latencia_p95_micro_5s__h12_h62,latencia_p95_micro_5s__h13_h63,latencia_p95_micro_5s__h14_h64,util_max_pct__h11_h61,util_max_pct__h12_h62,util_max_pct__h13_h63,util_max_pct__h14_h64,utilizacao_media_curta_15s__h11_h61,utilizacao_media_curta_15s__h12_h62,utilizacao_media_curta_15s__h13_h63,utilizacao_media_curta_15s__h14_h64,utilizacao_media_longa_30s__h11_h61,utilizacao_media_longa_30s__h12_h62,utilizacao_media_longa_30s__h13_h63,utilizacao_media_longa_30s__h14_h64,utilizacao_media_micro_5s__h11_h61,utilizacao_media_micro_5s__h12_h62,utilizacao_media_micro_5s__h13_h63,utilizacao_media_micro_5s__h14_h64,melhor_rota
1764165624,0.9999680168305074,0.999973243721906,0.999973243721906,0.9999675190541548,99.996864,99.996864,99.996864,99.996864,99.99703822222223,99.99729955555556,99.99729955555556,99.997088,99.99703822222223,99.99729955555556,99.99729955555556,99.997088,99.99703822222223,99.99729955555556,99.99729955555556,99.997088,2409.9244224000004,3490.3457640828906,2191.715348648651,1919.2355492117085,99.996864,99.996864,99.996864,99.996864,99.99384,99.994624,99.994624,99.99384,99.99384,99.994624,99.994624,99.99384,99.99384,99.994624,99.994624,99.99384,0.0,0.0,0.0,0.0,0.6099518834694686,1.2407312162369621,0.8848268144204157,0.3758465948105987,0.6099518834694686,1.2407312162369621,0.8848268144204157,0.3758465948105987,0.6099518834694686,1.2407312162369621,0.8848268144204157,0.3758465948105987,24.53130111299877,35.78188170421838,22.543507870627305,19.45872105913707,24.53130111299877,35.78188170421838,22.543507870627305,19.45872105913707,24.53130111299877,35.78188170421838,22.543507870627305,19.45872105913707,24.1,34.90455224758739,21.91784082997494,19.192957383260623,24.919472114697662,36.57147821518627,23.106608207214435,19.697908367425875,24.919472114697662,36.57147821518627,23.106608207214435,19.697908367425875,24.919472114697662,36.57147821518627,23.106608207214435,19.697908367425875,0.003136,0.003136,0.003136,0.003136,3.098666666666666e-05,2.8373333333333328e-05,2.8373333333333328e-05,3.098666666666666e-05,3.098666666666666e-05,2.8373333333333328e-05,2.8373333333333328e-05,3.098666666666666e-05,3.098666666666666e-05,2.8373333333333328e-05,2.8373333333333328e-05,3.098666666666666e-05,4
1764165625,0.9999677990532921,0.9999743326122509,0.9999743326122509,0.9999676870536186,99.99712533333333,99.996864,99.996864,99.9970208,99.99706,99.99719066666667,99.99719066666667,99.9970712,99.99706,99.99719066666667,99.99719066666667,99.9970712,99.99706,99.99719066666667,99.99719066666667,99.9970712,2409.9244224000004,3518.45919466922,2238.0725797802647,1910.3035614834466,99.996864,99.996864,99.996864,99.996864,99.99384,99.994624,99.994624,99.99384,99.99384,99.994624,99.994624,99.99384,99.99384,99.994624,99.994624,99.99384,0.0,0.0,0.0,0.0,0.4980236273832479,0.9424363942123578,0.6326261997084224,0.3356472916962665,0.4980236273832479,0.9424363942123578,0.6326261997084224,0.3356472916962665,0.4980236273832479,0.9424363942123578,0.6326261997084224,0.3356472916962665,24.387534075332514,35.58315292617859,22.48948114020976,19.340358941030985,24.387534075332514,35.58315292617859,22.48948114020976,19.340358941030985,24.387534075332514,35.58315292617859,22.48948114020976,19.340358941030985,24.1,35.185695370099005,22.38142767937467,19.10363470481881,24.876342003397784,36.51185958177433,23.090400188089173,19.67133199983823,24.876342003397784,36.51185958177433,23.090400188089173,19.67133199983823,24.876342003397784,36.51185958177433,23.090400188089173,19.67133199983823,0.003136,0.003136,0.003136,0.003136,3.1079999999999994e-05,2.9119999999999996e-05,2.9119999999999996e-05,3.1079999999999994e-05,3.1079999999999994e-05,2.9119999999999996e-05,2.9119999999999996e-05,3.1079999999999994e-05,3.1079999999999994e-05,2.9119999999999996e-05,2.9119999999999996e-05,3.1079999999999994e-05,4
1764165626,0.9999676683870086,0.9999749859475959,0.9999749859475959,0.9999677878533237,99.99712533333333,99.996864,99.996864,99.9970208,99.99707306666667,99.99712533333334,99.99712533333334,99.99706112,99.99707306666667,99.99712533333334,99.99712533333334,99.99706112,99.99707306666667,99.99712533333334,99.99712533333334,99.99706112,2409.9244224000004,3519.8896128000006,2239.9297536,1938.8054055516113,99.996864,99.996864,99.996864,99.996864,99.99384,99.994624,99.994624,99.99384,99.99384,99.994624,99.994624,99.99384,99.99384,99.994624,99.994624,99.99384,0.0,0.0,0.0,0.0,0.43130111299876805,0.7929853588184733,0.5184711412589168,0.2751170078703638,0.43130111299876805,0.7929853588184733,0.5184711412589168,0.2751170078703638,0.43130111299876805,0.7929853588184733,0.5184711412589168,0.2751170078703638,24.315650556499385,35.48736469463394,22.46711085515732,19.352434726763004,24.315650556499385,35.48736469463394,22.46711085515732,19.352434726763004,24.315650556499385,35.48736469463394,22.46711085515732,19.352434726763004,24.1,35.2,22.4,19.388662083959066,24.833211892097907,36.440329486721964,23.05379867458772,19.674111337355352,24.833211892097907,36.440329486721964,23.05379867458772,19.674111337355352,24.833211892097907,36.440329486721964,23.05379867458772,19.674111337355352,0.003136,0.003136,0.003136,0.003136,3.1135999999999995e-05,2.9568e-05,2.9568e-05,3.1135999999999995e-05,3.1135999999999995e-05,2.9568e-05,2.9568e-05,3.1135999999999995e-05,3.1135999999999995e-05,2.9568e-05,2.9568e-05,3.1135999999999995e-05,4
1764165627,0.9999680168305075,0.9999754215049671,0.9999754215049671,0.9999681163858373,99.996864,99.996864,99.996864,99.996864,99.99703822222222,99.99708177777778,99.99708177777778,99.99702826666667,99.99703822222222,99.99708177777778,99.99708177777778,99.99702826666667,99.99644586666668,99.99649813333333,99.99649813333333,99.99643392,2409.9244224000004,3510.3905641803403,2249.53516909705,1949.5451816943946,99.996864,99.996864,99.996864,99.996864,99.99384,99.994624,99.994624,99.99384,99.99384,99.994624,99.994624,99.99384,99.99384,99.994624,99.994624,99.99384,0.0,0.0,0.0,0.0,0.38576744297462534,0.7077138453869559,0.44919574912986926,0.24676477555425624,0.38576744297462534,0.7077138453869559,0.44919574912986926,0.24676477555425624,0.38576744297462534,0.7077138453869559,0.44919574912986926,0.24676477555425624,24.27252044519951,35.41089306266882,22.47290011759051,19.38116042410767,24.27252044519951,35.41089306266882,22.47290011759051,19.38116042410767,24.27252044519951,35.41089306266882,22.47290011759051,19.38116042410767,24.1,35.10500653480833,22.49605716732327,19.49606321348632,24.790081780798033,36.3673689286795,23.03455136248839,19.67880043070808,24.790081780798033,36.3673689286795,23.03455136248839,19.67880043070808,24.790081780798033,36.3673689286795,23.03455136248839,19.67880043070808,0.003136,0.003136,0.003136,0.003136,3.117333333333333e-05,2.9866666666666666e-05,2.9866666666666666e-05,3.117333333333333e-05,3.117333333333333e-05,2.9866666666666666e-05,2.9866666666666666e-05,3.117333333333333e-05,3.7408e-05,3.5839999999999996e-05,3.5839999999999996e-05,3.7408e-05,4
1764165628,0.9999866129128003,0.9999862395728762,0.9999866129128003,0.9999866235796594,99.99578133333334,99.99578133333334,99.99552,99.9958336,99.99685866666667,99.996896,99.99685866666667,99.9968576,99.99685866666667,99.996896,99.99685866666667,99.9968576,99.99675199999999,99.99664746666667,99.9965952,99.99672064,2409.892032,3509.842752,2249.8992,1949.91264,99.99552,99.99552,99.99552,99.99552,99.99384,99.994624,99.994624,99.99384,99.99384,99.994624,99.994624,99.99384,99.99552,99.99552,99.99552,99.99552,-0.1437670376662581,-0.2600267217250689,-0.13835162932418044,-0.06470354298475911,0.3521558841138167,0.6455975466944144,0.4019251888517442,0.22598250160101388,0.3521558841138167,0.6455975466944144,0.4019251888517442,0.22598250160101388,0.0,0.11786017261634374,0.24160095564167014,0.1800999728663521,24.24376703766626,35.359077552224015,22.477416764658756,19.400967020089723,24.24376703766626,35.359077552224015,22.477416764658756,19.400967020089723,24.1,35.099050830498946,22.339065135334575,19.336263477104964,24.1,35.1,22.5,19.5,24.746951669498156,36.29440837063703,23.001881183459755,19.66836355126014,24.746951669498156,36.29440837063703,23.001881183459755,19.66836355126014,24.1,35.1971390740198,22.499211433464655,19.499212642697263,0.00448,0.00448,0.00448,0.00448,3.312e-05,3.2e-05,3.2e-05,3.312e-05,3.312e-05,3.2e-05,3.2e-05,3.312e-05,3.4048e-05,3.4048e-05,3.4048e-05,3.4048e-05,4
1764165629,0.9999866062460135,0.9999859529013382,0.9999866062460135,0.9999864195760192,99.996864,99.99712533333333,99.996864,99.9970208,99.99685933333333,99.99692466666667,99.99685933333333,99.996878,99.99685933333333,99.99692466666667,99.99685933333333,99.996878,99.996752,99.99669973333333,99.9965952,99.996752,2409.9244224000004,3509.8899264,2221.1664746472034,1902.038446578164,99.996864,99.996864,99.996864,99.996864,99.99384,99.994624,99.994624,99.99384,99.99384,99.994624,99.994624,99.99384,99.99552,99.99552,99.99552,99.99552,-0.12322888942821919,-0.18392609235340274,-0.041582467446591664,-0.04481510455293858,0.3260329957657448,0.5974268992705091,0.380336984764716,0.2513638798608248,0.3260329957657448,0.5974268992705091,0.380336984764716,0.2513638798608248,0.0,0.050237731189134195,0.11700380590021914,0.22510844599314922,24.22322888942822,35.32206647333487,22.439551702010824,19.346683297754712,24.22322888942822,35.32206647333487,22.439551702010824,19.346683297754712,24.1,35.13814038098147,22.397969234564233,19.301868193201773,24.1,35.1,22.21236132612322,19.020980963744663,24.70382155819828,36.221447812594555,22.96842243789577,19.657139314509465,24.70382155819828,36.221447812594555,22.96842243789577,19.657139314509465,24.1,35.1971390740198,22.499211433464655,19.499212642697263,0.003136,0.003136,0.003136,0.003136,3.29e-05,3.192e-05,3.192e-05,3.29e-05,3.29e-05,3.192e-05,3.192e-05,3.29e-05,3.4048e-05,3.4048e-05,3.4048e-05,3.4048e-05,4
1764165630,0.9999865999051586,0.9999860179987262,0.9999865987495822,0.9999864337451582,99.99686504,99.99686608,99.99686608,99.996865248,99.9968599674074,99.99691815703704,99.99686008296297,99.99687658311112,99.9968599674074,99.99691815703704,99.99686008296297,99.99687658311112,99.99669994133333,99.99670014933334,99.99659561600001,99.9967208896,2409.9244224000004,3509.8899264,2210.3521703306974,1919.0758697433023,99.996864,99.996864,99.996864,99.996864,99.99384,99.994624,99.994624,99.99384,99.99384,99.994624,99.994624,99.99384,99.99552,99.99552,99.99552,99.99552,-0.10782527824969179,-0.17330685720634875,-0.055107923708728634,-0.00785459290990076,0.3049759417347341,0.5586543435011382,0.3715472977602974,0.23910915474854413,0.3049759417347341,0.5586543435011382,0.3715472977602974,0.23910915474854413,0.0,0.044214790851840824,0.17706507804758756,0.20860939053774874,24.207825278249693,35.294308164168015,22.397634600695216,19.327267952847812,24.207825278249693,35.294308164168015,22.397634600695216,19.327267952847812,24.1,35.121001306961666,22.342526676986488,19.31941335993791,24.1,35.1,22.10421489148597,19.19136053849951,24.6606914468984,36.14848725455209,22.934963692331788,19.645915077758787,24.6606914468984,36.14848725455209,22.934963692331788,19.645915077758787,24.1,35.18100130696167,22.499211433464655,19.499212642697263,0.003136,0.003136,0.003136,0.003136,3.272888888888889e-05,3.185777777777778e-05,3.185777777777778e-05,3.272888888888889e-05,3.272888888888889e-05,3.185777777777778e-05,3.185777777777778e-05,3.272888888888889e-05,3.4048e-05,3.4048e-05,3.4048e-05,3.4048e-05,4
1764165631,0.9999865927524373,0.9999860690366252,0.9999865917124187,0.9999864432084365,99.99686712,99.99686712,99.99686712,99.99686712,99.99686068266666,99.99691305333333,99.99686078666666,99.9968756368,99.99686068266666,99.99691305333333,99.99686078666666,99.9968756368,99.99664829866667,99.99670077333334,99.99659624,99.9966901536,2400.3026758454184,3509.8900359120003,2229.06179595221,1929.4945209175607,99.99686712,99.99686712,99.99686712,99.99686712,99.99384,99.994624,99.994624,99.99384,99.99384,99.994624,99.994624,99.99384,99.99552,99.99552,99.99552,99.99552,-0.10439769017408196,-0.17171706118767815,-0.06503151743478597,-0.02295281799919735,0.2932748593224957,0.5265718514151236,0.34935286337674293,0.22391588231234763,0.2932748593224957,0.5265718514151236,0.34935286337674293,0.22391588231234763,0.04303144310895998,0.002238990432146739,0.17490358545333115,0.20500708304619156,24.185153443781775,35.27271836814934,22.38582145836384,19.323743704264004,24.185153443781775,35.27271836814934,22.38582145836384,19.323743704264004,24.080755753607693,35.10100130696166,22.320789940929053,19.300790886264807,24.00377876803845,35.1,22.291316319712816,19.295549715593538,24.617561335598523,36.07552669650962,22.901504946767805,19.634690841008112,24.617561335598523,36.07552669650962,22.901504946767805,19.634690841008112,24.1,35.10400522784666,22.499211433464655,19.499212642697263,0.00313288,0.00313288,0.00313288,0.00313288,3.258888e-05,3.180488e-05,3.180488e-05,3.258888e-05,3.258888e-05,3.180488e-05,3.180488e-05,3.258888e-05,3.404176000000001e-05,3.404176000000001e-05,3.404176000000001e-05,3.404176000000001e-05,4
1764165632,0.9999865869002109,0.9999861107949102,0.9999865859547392,0.9999864509511189,99.99686712,99.99686712,99.99686712,99.99686712,99.99686126787878,99.99690887757575,99.99686136242426,99.99687486254547,99.99686126787878,99.99690887757575,99.99686136242426,99.99687486254547,99.99664892266667,99.99670139733334,99.996596864,99.9966907776,2409.535492791081,3509.8900359120003,2220.374302962654,1910.8537632077011,99.99686712,99.99686712,99.99686712,99.99686712,99.99384,99.994624,99.994624,99.99384,99.99384,99.994624,99.994624,99.99384,99.99552,99.99552,99.99552,99.99552,-0.09627136278426462,-0.15544653133441244,-0.10521693825858591,-0.07887746043143196,0.2779322526376523,0.4994521208115687,0.3343300315818689,0.2217499301278982,0.2779322526376523,0.4994521208115687,0.3343300315818689,0.2217499301278982,0.04262980279699626,0.0,0.1484720554913605,0.18491168712864245,24.176249082415247,35.255446531334414,22.367683179331923,19.30228296367623,24.176249082415247,35.255446531334414,22.367683179331923,19.30228296367623,24.079977719630982,35.1,22.262466241073337,19.2234055032448,24.096109830116458,35.1,22.20443866804468,19.109136298386275,24.574431224298646,36.00256613846715,22.868046201203818,19.623466604257434,24.574431224298646,36.00256613846715,22.868046201203818,19.623466604257434,24.1,35.1,22.458263263942563,19.45910994311871,0.00313288,0.00313288,0.00313288,0.00313288,3.247432727272727e-05,3.17616e-05,3.17616e-05,3.247432727272727e-05,3.247432727272727e-05,3.17616e-05,3.17616e-05,3.247432727272727e-05,3.403552e-05,3.403552e-05,3.403552e-05,3.403552e-05,4
1764165633,1.0000000224451486,0.9999995860094109,1.0000000215784548,0.9999998978234728,99.99686712,99.99686712,99.99686712,99.99686712,99.99686175555557,99.99690539777778,99.99686184222223,99.99687421733334,99.99686175555557,99.99690539777778,99.99686184222223,99.99687421733334,99.99686608,99.99691855466668,99.996866288,99.99689748160002,2409.924497592,3509.8900359120003,2210.3835278850192,1909.9401619920002,99.99686712,99.99686712,99.99686712,99.99686712,99.99384,99.994624,99.994624,99.99384,99.99384,99.994624,99.994624,99.99384,99.996864,99.996864,99.996864,99.996864,-0.08933962801924267,-0.14131502848582045,-0.1603881633541917,-0.14048810009723312,0.26467006208862126,0.4761343003662003,0.3269471466310502,0.21903329123461499,0.26467006208862126,0.4761343003662003,0.3269471466310502,0.21903329123461499,0.04262980279699626,0.0,0.07971577543546099,0.1042757531055,24.169317347650225,35.24131502848582,22.343759961863597,19.28389360334203,24.169317347650225,35.24131502848582,22.343759961863597,19.28389360334203,24.079977719630982,35.1,22.183371798509405,19.143405503244797,24.1,35.1,22.10452778718033,19.1,24.53130111299877,35.929605580424685,22.834587455639834,19.61224236750676,24.53130111299877,35.929605580424685,22.834587455639834,19.61224236750676,24.1,35.1,22.2755253209949,19.27471188017473,0.00313288,0.00313288,0.00313288,0.00313288,3.237886666666666e-05,3.172553333333333e-05,3.172553333333333e-05,3.237886666666666e-05,3.237886666666666e-05,3.172553333333333e-05,3.172553333333333e-05,3.237886666666666e-05,3.1341279999999996e-05,3.1341279999999996e-05,3.1341279999999996e-05,3.1341279999999996e-05,4
