run_id,rota_id,ts_epoch,latencia_ms
0,h11_h61,1764275803,
0,h11_h61,1764275804,
0,h11_h61,1764275805,18.683272369405497
0,h11_h61,1764275806,18.1
0,h11_h61,1764275807,18.1
0,h11_h61,1764275808,18.1
0,h11_h61,1764275809,18.1
0,h11_h61,1764275810,18.1
0,h11_h61,1764275811,18.1
0,h11_h61,1764275812,18.002991138171126
0,h11_h61,1764275813,18.09690550239291
0,h11_h61,1764275814,18.003196136588443
0,h11_h61,1764275815,18.09669887253654
0,h11_h61,1764275816,18.1
0,h11_h61,1764275817,18.1
0,h11_h61,1764275818,18.0036143068825
0,h11_h61,1764275819,18.0
0,h11_h61,1764275820,18.0
0,h11_h61,1764275821,18.0
0,h11_h61,1764275822,18.0
0,h11_h61,1764275823,18.0
0,h11_h61,1764275824,18.095767279818578
0,h11_h61,1764275825,18.1
0,h11_h61,1764275826,18.1
0,h11_h61,1764275827,18.00454295245343
0,h11_h61,1764275828,18.0
0,h11_h61,1764275829,18.0
0,h11_h61,1764275830,18.09514862995216
0,h11_h61,1764275831,18.004954108687244
0,h11_h61,1764275832,18.0
0,h11_h61,1764275833,18.0
0,h11_h61,1764275834,18.0
0,h11_h61,1764275835,18.0
0,h11_h61,1764275836,18.0
0,h11_h61,1764275837,18.0
0,h11_h61,1764275838,18.0
0,h11_h61,1764275839,18.0
0,h11_h61,1764275840,18.0
0,h11_h61,1764275841,18.0
0,h11_h61,1764275842,18.0
0,h11_h61,1764275843,18.0
0,h11_h61,1764275844,18.0937073014937
0,h11_h61,1764275845,18.1
0,h11_h61,1764275846,18.1
0,h11_h61,1764275847,18.1
0,h11_h61,1764275848,18.1
0,h11_h61,1764275849,18.1
0,h11_h61,1764275850,18.00692870130557
0,h11_h61,1764275851,18.092955099451427
0,h11_h61,1764275852,18.1
0,h11_h61,1764275853,18.1
0,h11_h61,1764275854,18.1
0,h11_h61,1764275855,18.1
0,h11_h61,1764275856,18.1
0,h11_h61,1764275857,28.233113945053056
0,h11_h61,1764275858,18.978070943004425
0,h11_h61,1764275859,18.1
0,h11_h61,1764275860,18.191943032146575
0,h11_h61,1764275861,18.108175887954314
0,h11_h61,1764275862,18.1
0,h11_h61,1764275863,18.1
0,h11_h61,1764275864,18.1
0,h11_h61,1764275865,18.1
0,h11_h61,1764275866,66.17836165794412
0,h11_h61,1764275867,106.85366461466704
0,h11_h61,1764275868,60.038431079638706
0,h11_h61,1764275869,37.67944642562619
0,h11_h61,1764275870,19.80742732015474
0,h11_h61,1764275871,18.1
0,h11_h61,1764275872,18.1
0,h11_h61,1764275873,18.009688784889885
0,h11_h61,1764275874,18.090204085520647
0,h11_h61,1764275875,18.1
0,h11_h61,1764275876,18.1
0,h11_h61,1764275877,18.1
0,h11_h61,1764275878,18.1
0,h11_h61,1764275879,18.1
0,h11_h61,1764275880,18.1
0,h11_h61,1764275881,18.1
0,h11_h61,1764275882,18.1
0,h11_h61,1764275883,18.1
0,h11_h61,1764275884,18.1
0,h11_h61,1764275885,18.1
0,h11_h61,1764275886,18.1
0,h11_h61,1764275887,18.1
0,h11_h61,1764275888,18.1
0,h11_h61,1764275889,18.1
0,h11_h61,1764275890,18.1
0,h11_h61,1764275891,18.1
0,h11_h61,1764275892,18.1
0,h11_h61,1764275893,18.1
0,h11_h61,1764275894,18.1
0,h11_h61,1764275895,18.1
0,h11_h61,1764275896,18.1
0,h11_h61,1764275897,18.1
0,h11_h61,1764275898,18.1
0,h11_h61,1764275899,18.1
0,h11_h61,1764275900,18.1
0,h11_h61,1764275901,18.1
0,h11_h61,1764275902,18.1
0,h11_h61,1764275903,18.1
0,h11_h61,1764275904,18.1
0,h11_h61,1764275905,18.1
0,h11_h61,1764275906,18.1
0,h11_h61,1764275907,18.1
0,h11_h61,1764275908,18.1
0,h11_h61,1764275909,18.1
