rota_id,caminho,n_links_sw,atraso_cfg_ms
h11_h61,h11-s1-s2-s3-s6-h61,3,18.0
h12_h62,h12-s1-s2-s5-s6-h62,3,10.0
h13_h63,h13-s1-s4-s5-s6-h63,3,8.0
h14_h64,h14-s1-s4-s5-s2-s3-s6-h64,5,24.0
