1786675988.384610,s1-eth1,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1786675988.384740,s2-eth3,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1786675988.384794,s5-eth3,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1786675988.385035,total,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0,0,0.00,0.00,0,0
1786675989.398923,s1-eth1,386.59,276.13,662.72,280,392,3.94,3.94,7.89,4,4,0.00,0.00,0,0
1786675989.400743,s2-eth3,330.71,330.71,661.42,336,336,3.94,3.94,7.87,4,4,0.00,0.00,0,0
1786675989.400796,s5-eth3,385.83,372.05,757.87,378,392,3.94,4.92,8.86,5,4,0.00,0.00,0,0
1786675989.400807,total,1103.45,979.31,2082.76,994,1120,11.82,12.81,24.63,13,12,0.00,0.00,0,0
1786675990.403257,s1-eth1,195.22,292.83,488.05,294,196,1.99,2.99,4.98,3,2,0.00,0.00,0,0
1786675990.403650,s2-eth3,195.61,195.61,391.22,196,196,2.00,2.00,3.99,2,2,0.00,0.00,0,0
1786675990.403722,s5-eth3,195.61,195.61,391.22,196,196,2.00,2.00,3.99,2,2,0.00,0.00,0,0
1786675990.403758,total,586.83,684.63,1271.46,686,588,5.99,6.99,12.97,7,6,0.00,0.00,0,0
1786675991.414926,s1-eth1,193.87,193.87,387.73,196,196,1.98,1.98,3.96,2,2,0.00,0.00,0,0
1786675991.415054,s2-eth3,193.87,290.80,484.67,294,196,1.98,2.97,4.95,3,2,0.00,0.00,0,0
1786675991.415129,s5-eth3,193.87,290.80,484.67,294,196,1.98,2.97,4.95,3,2,0.00,0.00,0,0
1786675991.415193,total,581.60,775.47,1357.07,784,588,5.93,7.91,13.85,8,6,0.00,0.00,0,0
1786675992.428801,s1-eth1,193.48,193.48,386.97,196,196,1.97,1.97,3.95,2,2,0.00,0.00,0,0
1786675992.430450,s2-eth3,193.10,193.10,386.21,196,196,1.97,1.97,3.94,2,2,0.00,0.00,0,0
1786675992.430499,s5-eth3,193.10,193.10,386.21,196,196,1.97,1.97,3.94,2,2,0.00,0.00,0,0
1786675992.430522,total,579.31,579.31,1158.62,588,588,5.91,5.91,11.82,6,6,0.00,0.00,0,0
