datetime,interface,taxa_total_Mbps,banda_disponivel
2025-11-27 22:19:47.879302144,s4-eth2,0.0,100.0
2025-11-27 22:19:47.879319808,s5-eth3,0.0,100.0
2025-11-27 22:19:47.879600128,s1-eth2,0.0,100.0
2025-11-27 22:19:48.879884032,s4-eth2,0.0162353515625,99.9837646484375
2025-11-27 22:19:48.879904000,s5-eth3,0.018585205078125,99.98141479492188
2025-11-27 22:19:48.880204032,s1-eth2,0.0162353515625,99.9837646484375
2025-11-27 22:19:49.880553984,s4-eth2,0.00897216796875,99.99102783203125
2025-11-27 22:19:49.880579072,s5-eth3,0.0082244873046875,99.99177551269531
2025-11-27 22:19:49.880925952,s1-eth2,0.00897216796875,99.99102783203125
2025-11-27 22:19:50.881552896,s4-eth2,0.00897216796875,99.99102783203125
2025-11-27 22:19:50.881623040,s5-eth3,0.008963241577148437,99.99103675842285
2025-11-27 22:19:50.882458880,s1-eth2,0.008963241577148437,99.99103675842285
2025-11-27 22:19:51.883188992,s4-eth2,0.008963241577148437,99.99103675842285
2025-11-27 22:19:51.883256832,s5-eth3,0.00821624755859375,99.9917837524414
2025-11-27 22:19:51.884171008,s1-eth2,0.008963241577148437,99.99103675842285
2025-11-27 22:19:52.884919040,s4-eth2,0.008963241577148437,99.99103675842285
2025-11-27 22:19:52.884995072,s5-eth3,0.008963241577148437,99.99103675842285
2025-11-27 22:19:52.885931008,s1-eth2,0.008963241577148437,99.99103675842285
2025-11-27 22:19:53.886609152,s4-eth2,0.0128045654296875,99.98719543457031
2025-11-27 22:19:53.886668800,s5-eth3,0.0128045654296875,99.98719543457031
2025-11-27 22:19:53.887510016,s1-eth2,0.0128045654296875,99.98719543457031
2025-11-27 22:19:54.888247040,s4-eth2,0.008963241577148437,99.99103675842285
2025-11-27 22:19:54.888314112,s5-eth3,0.009710159301757813,99.99028984069824
2025-11-27 22:19:54.889223936,s1-eth2,0.008963241577148437,99.99103675842285
2025-11-27 22:19:55.889949952,s4-eth2,0.008963241577148437,99.99103675842285
2025-11-27 22:19:55.890017024,s5-eth3,0.008963241577148437,99.99103675842285
2025-11-27 22:19:55.890966784,s1-eth2,0.008963241577148437,99.99103675842285
2025-11-27 22:19:56.891697920,s4-eth2,0.009710159301757813,99.99028984069824
