Dataset,Melhor modelo,Acuracia,F1-macro,Persistencia,Majoritaria,Ganho sobre persistencia,Classes,n treino,n teste
D1,LogisticRegression,1.0,1.0,1.0,1.0,0.0,2,2856,683
D1b,LogisticRegression,0.9838945827232797,0.4959409594095941,0.9736456808199122,0.9838945827232797,0.010248901903367469,2,2856,683
D2,LogisticRegression,0.7151079136690648,0.20847315436241612,0.5352517985611511,0.7151079136690648,0.17985611510791366,4,2905,695
D2b,LogisticRegression,0.847041847041847,0.229296875,0.7258297258297258,0.847041847041847,0.12121212121212122,4,2897,693
D3,LogisticRegression,0.6163793103448276,0.19066666666666668,0.4410919540229885,0.6163793103448276,0.17528735632183912,4,2907,696
D3b,LogisticRegression,0.9482014388489208,0.32447070408665685,0.8964028776978418,0.9482014388489208,0.05179856115107906,4,2903,695
D4,SVC,0.728882833787466,0.3020163865570394,0.6430517711171662,0.26294277929155313,0.08583106267029983,4,3057,734
D4b,LogisticRegression,0.8423988842398884,0.22861468584405753,0.7210599721059973,0.8423988842398884,0.12133891213389114,4,2993,717
