run_id,rota_id,ts_epoch,latencia_ms
1,h11_h61,1787019209,
1,h11_h61,1787019210,
1,h11_h61,1787019211,50.97830637424899
1,h11_h61,1787019212,29.78550297302732
1,h11_h61,1787019213,51.23017495862371
1,h11_h61,1787019214,66.4720698296055
1,h11_h61,1787019215,33.28774069575432
1,h11_h61,1787019216,47.45474805312639
1,h11_h61,1787019217,41.10575833334535
1,h11_h61,1787019218,29.014411562325577
1,h11_h61,1787019219,26.80542219893224
1,h11_h61,1787019220,26.79176655841242
1,h11_h61,1787019221,59.29888762857098
1,h11_h61,1787019222,30.411468380651705
1,h11_h61,1787019223,48.20755755224691
1,h11_h61,1787019224,52.226551021033295
1,h11_h61,1787019225,46.34764319270467
1,h11_h61,1787019226,54.37420730513099
1,h11_h61,1787019227,44.70680963251672
1,h11_h61,1787019228,40.33326478080039
1,h11_h61,1787019229,43.094889375042285
1,h11_h61,1787019230,35.751087941175015
1,h11_h61,1787019231,27.564810956838116
1,h11_h61,1787019232,27.841825351734222
1,h11_h61,1787019233,34.13752500270661
1,h11_h61,1787019234,48.828881635060014
1,h11_h61,1787019235,46.57625995015847
1,h11_h61,1787019236,29.099544756791936
1,h11_h61,1787019237,35.36706800101339
1,h11_h61,1787019238,51.53096481430585
1,h11_h61,1787019239,52.668897703217915
1,h12_h62,1787019210,
1,h12_h62,1787019211,75.5599320357908
1,h12_h62,1787019212,41.27016018594317
1,h12_h62,1787019213,60.72723704051295
1,h12_h62,1787019214,88.0162879209011
1,h12_h62,1787019215,45.878491781684325
1,h12_h62,1787019216,69.71642585963771
1,h12_h62,1787019217,61.45195624049657
1,h12_h62,1787019218,63.07625347903635
1,h12_h62,1787019219,41.27072486474036
1,h12_h62,1787019220,39.31308480554597
1,h12_h62,1787019221,69.38450130359703
1,h12_h62,1787019222,74.98548448818882
1,h12_h62,1787019223,69.63402736004657
1,h12_h62,1787019224,72.03855401583162
1,h12_h62,1787019225,58.6474845431209
1,h12_h62,1787019226,69.84605790769061
1,h12_h62,1787019227,65.21720814542537
1,h12_h62,1787019228,52.368478730748706
1,h12_h62,1787019229,51.08331010235747
1,h12_h62,1787019230,45.87650364186767
1,h12_h62,1787019231,38.272544280628935
1,h12_h62,1787019232,48.93948498760229
1,h12_h62,1787019233,59.82465789714629
1,h12_h62,1787019234,61.58154397403599
1,h12_h62,1787019235,55.73801322645723
1,h12_h62,1787019236,39.77764381080469
1,h12_h62,1787019237,48.01808755449292
1,h12_h62,1787019238,58.24048514509275
1,h12_h62,1787019239,62.91121865550653
1,h13_h63,1787019210,
1,h13_h63,1787019211,48.58187959659061
1,h13_h63,1787019212,34.34875288815296
1,h13_h63,1787019213,46.40148027864396
1,h13_h63,1787019214,47.87785878535867
1,h13_h63,1787019215,30.589981938492887
1,h13_h63,1787019216,54.92084152683409
1,h13_h63,1787019217,27.435399381779845
1,h13_h63,1787019218,43.96923875432526
1,h13_h63,1787019219,31.566696472548045
1,h13_h63,1787019220,25.790133979654197
1,h13_h63,1787019221,56.73840876273481
1,h13_h63,1787019222,68.01509745086909
1,h13_h63,1787019223,54.08873058502425
1,h13_h63,1787019224,49.90177775898676
1,h13_h63,1787019225,33.28778859721549
1,h13_h63,1787019226,48.35235230095736
1,h13_h63,1787019227,50.272261925546886
1,h13_h63,1787019228,27.1384403715504
1,h13_h63,1787019229,23.440526078082748
1,h13_h63,1787019230,22.734663102681875
1,h13_h63,1787019231,22.515226807503225
1,h13_h63,1787019232,23.600426699365833
1,h13_h63,1787019233,47.396418912429624
1,h13_h63,1787019234,40.70766164663026
1,h13_h63,1787019235,33.728896198086254
1,h13_h63,1787019236,24.783497254002107
1,h13_h63,1787019237,29.81998102393308
1,h13_h63,1787019238,42.120107952216685
1,h13_h63,1787019239,36.643711902734935
1,h14_h64,1787019210,
1,h14_h64,1787019211,76.40450643862512
1,h14_h64,1787019212,26.396561749760515
1,h14_h64,1787019213,36.75343177546565
1,h14_h64,1787019214,62.751672423596204
1,h14_h64,1787019215,26.492049595003166
1,h14_h64,1787019216,35.569274553809635
1,h14_h64,1787019217,47.13993274406109
1,h14_h64,1787019218,47.176972573014325
1,h14_h64,1787019219,40.606613973083256
1,h14_h64,1787019220,23.648027315473467
1,h14_h64,1787019221,44.418686626937316
1,h14_h64,1787019222,62.98609834539494
1,h14_h64,1787019223,30.329698533295712
1,h14_h64,1787019224,34.29380535438494
1,h14_h64,1787019225,23.311481971587614
1,h14_h64,1787019226,33.30485987037704
1,h14_h64,1787019227,47.90267667648642
1,h14_h64,1787019228,26.03990861251536
1,h14_h64,1787019229,21.869724285445933
1,h14_h64,1787019230,21.21929668773414
1,h14_h64,1787019231,20.67444622353745
1,h14_h64,1787019232,23.543057359590343
1,h14_h64,1787019233,47.33256675199799
1,h14_h64,1787019234,48.765172108827706
1,h14_h64,1787019235,36.59375108479249
1,h14_h64,1787019236,23.16754596103894
1,h14_h64,1787019237,33.2858642600651
1,h14_h64,1787019238,51.07097669645112
1,h14_h64,1787019239,56.93685219229288
