run_id,rota_id,ts_epoch,gargalo_Mbps,banda_media_Mbps,util_max_pct,latencia_ms,datetime_utc,tempo_relativo_s,latencia_p95_micro_5s,latencia_jitter_micro_5s,latencia_media_micro_5s,gargalo_min_micro_5s,banda_media_micro_5s,utilizacao_media_micro_5s,latencia_p95_curta_15s,latencia_jitter_curta_15s,latencia_media_curta_15s,gargalo_min_curta_15s,banda_media_curta_15s,utilizacao_media_curta_15s,latencia_p95_longa_30s,latencia_jitter_longa_30s,latencia_media_longa_30s,gargalo_min_longa_30s,banda_media_longa_30s,utilizacao_media_longa_30s,latencia_delta_micro_longa,banda_delta_micro_longa,bdp,melhor_rota
1,h11_h61,1787019210,100.0,100.0,0.0,,2026-08-18T02:13:30,0,,,,100.0,100.0,0.0,,,,100.0,100.0,0.0,,,,100.0,100.0,0.0,,1.0,,
1,h11_h61,1787019211,79.668194,79.73107533333332,20.331806,50.97830637424899,2026-08-18T02:13:31,1,50.97830637424899,,50.97830637424899,79.668194,89.86553766666665,0.10165903,50.97830637424899,,50.97830637424899,79.668194,89.86553766666665,0.10165903,50.97830637424899,,50.97830637424899,79.668194,89.86553766666665,0.10165903,0.0,0.8865266493537144,4061.349602015105,3
1,h11_h61,1787019212,79.31644800000001,79.42744,20.683552,29.78550297302732,2026-08-18T02:13:32,2,49.9186662041879,14.985574997357169,40.381904673638154,79.31644800000001,86.38617177777776,0.13671786,49.9186662041879,14.985574997357169,40.381904673638154,79.31644800000001,86.38617177777776,0.13671786,49.9186662041879,14.985574997357169,40.381904673638154,79.31644800000001,86.38617177777776,0.13671786,0.0,0.9181613951366648,2362.480297713967,4
1,h11_h61,1787019213,79.587032,79.610424,20.412968,51.23017495862371,2026-08-18T02:13:33,3,51.204988100186235,12.30902318326174,43.99799476863334,79.31644800000001,84.69223483333333,0.153570815,51.204988100186235,12.30902318326174,43.99799476863334,79.31644800000001,84.69223483333333,0.153570815,51.204988100186235,12.30902318326174,43.99799476863334,79.31644800000001,84.69223483333333,0.153570815,0.0,0.9365256231115829,4077.257573797583,4
1,h11_h61,1787019214,79.40244,79.44964800000001,20.59756,66.4720698296055,2026-08-18T02:13:34,4,64.18578559895823,15.075776827268395,49.61651353387638,79.31644800000001,83.64371746666667,0.164051772,64.18578559895823,15.075776827268395,49.61651353387638,79.31644800000001,83.64371746666667,0.164051772,64.18578559895823,15.075776827268395,49.61651353387638,79.31644800000001,83.64371746666667,0.164051772,0.0,0.948265457374116,5278.044536321061,3
1,h11_h61,1787019215,78.81424,78.83039466666666,21.185760000000002,33.28774069575432,2026-08-18T02:13:35,5,63.42369085540914,14.959446837667514,46.350758966251966,78.81424,79.4097964,0.20642329199999998,63.42369085540914,14.959446837667514,46.350758966251966,78.81424,82.841497,0.17201941,63.42369085540914,14.959446837667514,46.350758966251966,78.81424,82.841497,0.17201941,0.0,0.9513859943887782,2623.547984252948,4
1,h11_h61,1787019216,79.530688,79.56237933333334,20.469312,47.45474805312639,2026-08-18T02:13:36,6,63.42369085540914,14.768731352067869,45.64604730202745,78.81424,79.3760572,0.20669830400000003,62.66159611186005,13.387724666095808,46.534757147397706,78.81424,82.37305161904762,0.17668708285714285,62.66159611186005,13.387724666095808,46.534757147397706,78.81424,82.37305161904762,0.17668708285714285,-0.8887098453702578,0.9567964091520352,3774.108761531802,4
1,h11_h61,1787019217,79.184544,79.22798933333333,20.815455999999998,41.10575833334535,2026-08-18T02:13:37,7,63.42369085540914,12.408559789723848,47.910098374091056,78.81424,79.33616706666666,0.206962112,61.89950136831095,12.392331710596894,45.759185888247366,78.81424,81.97991883333333,0.1806205175,61.89950136831095,12.392331710596894,45.759185888247366,78.81424,81.97991883333333,0.1806205175,2.1509124858436905,0.961384703981359,3254.9407294001517,3
1,h11_h61,1787019218,79.408558,79.42788333333334,20.591442,29.014411562325577,2026-08-18T02:13:38,8,62.66860547430968,14.690179263080081,43.46694569483143,78.81424,79.29965893333333,0.20731906000000003,61.137406624761866,12.910451719305263,43.66608909750715,78.81424,81.69635933333333,0.1834309511111111,61.137406624761866,12.910451719305263,43.66608909750715,78.81424,81.69635933333333,0.1834309511111111,-0.19914340267571617,0.9647215695184915,2303.992583382801,1
1,h11_h61,1787019219,79.31488,79.367056,20.68512,26.80542219893224,2026-08-18T02:13:39,9,46.18495010917018,8.615211968119953,35.53361616869678,78.81424,79.28314053333334,0.20749417999999997,60.37531188121278,13.32034878833981,41.79268166433215,78.81424,81.46342899999999,0.185772976,60.37531188121278,13.32034878833981,41.79268166433215,78.81424,81.46342899999999,0.185772976,-6.259065495635369,0.9674800210042719,2126.0688450576467,1
1,h11_h61,1787019220,79.375264,79.405968,20.624736,26.79176655841242,2026-08-18T02:13:40,10,46.18495010917018,9.484513047500258,34.23442134122839,79.184544,79.39825520000001,0.20637213199999999,59.613217137663675,13.424597007639525,40.292590153740186,78.81424,81.2763870909091,0.18763428363636364,59.613217137663675,13.424597007639525,40.292590153740186,78.81424,81.2763870909091,0.18763428363636364,-6.058168812511795,0.9742625974679543,2126.603543600357,4
1,h11_h61,1787019221,79.720644,79.74852333333332,20.279356,59.29888762857098,2026-08-18T02:13:41,11,55.66026176952585,14.01086769650882,36.60324925631731,79.184544,79.435484,0.20599221999999998,62.88547872908824,13.965592170484404,42.0204353787248,78.81424,81.14906511111111,0.18889755666666666,62.88547872908824,13.965592170484404,42.0204353787248,78.81424,81.14906511111111,0.18889755666666666,-5.417186122407486,0.9757912046377707,4727.345510233311,4
1,h11_h61,1787019222,79.016096,79.036224,20.983904,30.411468380651705,2026-08-18T02:13:42,12,53.52140377898712,13.967906512263918,34.46439126577859,79.016096,79.39713093333334,0.206329116,62.52681961903651,13.73090437746879,41.05302146221871,78.81424,80.98653887179488,0.19050843999999997,62.52681961903651,13.73090437746879,41.05302146221871,78.81424,80.98653887179488,0.19050843999999997,-6.588630196440121,0.9756695013857282,2402.99550506654,1
1,h11_h61,1787019223,79.974734,80.01792266666666,20.025266,48.20755755224691,2026-08-18T02:13:43,13,57.080621613306164,14.713145648983108,38.30302046376285,79.016096,79.5151388,0.20519676399999998,62.168160508984776,13.295252851540704,41.60337039222088,78.81424,80.91735200000001,0.1912044557142857,62.168160508984776,13.295252851540704,41.60337039222088,78.81424,80.91735200000001,0.1912044557142857,-3.300349928458033,0.9765037293855092,3855.3865920306375,4
