timestamp,latencia_h11_h61,latencia_h12_h62,latencia_h13_h63,latencia_h14_h64,banda_h11_h61,banda_h12_h62,banda_h13_h63,banda_h14_h64,categoria
2025-11-26 09:50:17,24.962910038971305,36.23178991127022,22.435665467139128,19.342413610094816,99.99412536621094,99.994873046875,99.994873046875,99.99412536621094,mice
2025-11-26 09:50:18,24.002836233306684,34.79592894175402,21.79664957994684,18.792603886554122,99.99700927734375,99.99700927734375,99.99700927734375,99.99700927734375,mice
2025-11-26 09:50:19,24.0,35.0874697173941,22.18643917529213,19.088278172496565,99.99700927734375,99.99700927734375,99.99700927734375,99.99700927734375,mice
2025-11-26 09:50:20,24.0,35.1,22.29659757918059,19.1,99.99700927734375,99.99700927734375,99.99700927734375,99.99700927734375,mice
2025-11-26 09:50:21,24.0,35.004193709043065,22.20340328896783,19.004130292039385,99.99701225280762,99.99701225280762,99.99701225280762,99.99701225280762,mice
2025-11-26 09:50:22,24.0,35.0,22.296590706447677,19.0,99.99573181152344,99.99498489379883,99.99573181152344,99.99498489379883,mice
2025-11-26 09:50:23,24.0,34.9041884659452,21.81683879182119,18.904295051732106,99.99626533508301,99.99626533508301,99.99701225280762,99.99701225280762,mice
2025-11-26 09:50:24,24.0,34.8042686238637,21.70336012852536,18.9,99.99701225280762,99.99701225280762,99.99701225280762,99.99701225280762,mice
2025-11-26 09:50:25,24.0,34.8956407630082,21.89324460391182,18.9,99.99700927734375,99.99700927734375,99.99700927734375,99.99700927734375,mice
2025-11-26 09:50:26,24.0,34.9,21.803369519032543,18.9,99.99700927734375,99.99626533508301,99.99626533508301,99.99700927734375,mice
2025-11-26 09:50:27,24.0,34.80453111484797,21.703366793039624,18.9,99.99700927734375,99.99700927734375,99.99700927734375,99.99700927734375,mice
2025-11-26 09:50:28,24.0,34.8,21.7,18.9,99.99700927734375,99.99700927734375,99.99700927734375,99.99700927734375,mice
2025-11-26 09:50:29,24.0,34.89531874175906,21.893223879017352,18.805327591664028,99.99701225280762,99.99701225280762,99.99626533508301,99.99626533508301,mice
2025-11-26 09:50:30,24.0,34.9,21.9,18.894478359579324,99.99701225280762,99.99701225280762,99.99701225280762,99.99701225280762,mice
2025-11-26 09:50:31,24.0,34.9,21.803392886052524,18.9,99.99701225280762,99.99701225280762,99.99701225280762,99.99701225280762,mice
2025-11-26 09:50:32,24.0,35.09005414128174,22.282780523037264,19.08816298310337,99.99700927734375,99.99700927734375,99.99700927734375,99.99700927734375,mice
2025-11-26 09:50:33,24.0,34.90993251168461,21.817026169778458,18.912032859462602,99.99700927734375,99.99700927734375,99.99700927734375,99.99700927734375,mice
2025-11-26 09:50:34,24.0,35.08984951232964,21.896579683391334,18.9,99.99700927734375,99.99700927734375,99.99700927734375,99.99700927734375,mice
2025-11-26 09:50:35,24.0,35.00517594502226,22.09312785357106,18.9,99.99700927734375,99.99700927734375,99.99700927734375,99.99700927734375,mice
2025-11-26 09:50:36,24.0,34.90526306762472,21.810237092890457,18.80657938605311,99.99700927734375,99.99700927734375,99.99700927734375,99.99700927734375,mice
2025-11-26 09:50:37,24.0,34.994538583102816,22.282691466787085,18.986446841995306,99.99700927734375,99.99700927734375,99.99700927734375,99.99700927734375,mice
2025-11-26 09:50:38,24.0,35.0,22.20345549643344,18.906971603270534,99.99700927734375,99.99700927734375,99.99700927734375,99.99700927734375,mice
2025-11-26 09:50:39,24.0,35.094324558111,22.296531073446328,18.992830888782763,99.99701225280762,99.99701225280762,99.99701225280762,99.99701225280762,mice
2025-11-26 09:50:40,24.0,35.1,22.10692452276387,19.0,99.99701225280762,99.99701225280762,99.99701225280762,99.99701225280762,mice
2025-11-26 09:50:41,24.0,35.1,22.1,19.0,99.99701225280762,99.99701225280762,99.99701225280762,99.99701225280762,mice
2025-11-26 09:50:42,24.0,35.00598142936315,22.1,19.0,99.99701225280762,99.99701225280762,99.99701225280762,99.99701225280762,mice
2025-11-26 09:50:43,24.0,35.093908883193244,22.003463519928317,19.0,99.99701225280762,99.99701225280762,99.99701225280762,99.99701225280762,mice
2025-11-26 09:50:44,24.0,35.00619715981867,22.0,19.0,99.99701225280762,99.99701225280762,99.99701225280762,99.99701225280762,mice
2025-11-26 09:50:45,24.0,35.0,22.0,19.0,99.99701225280762,99.99701225280762,99.99701225280762,99.99701225280762,mice
2025-11-26 09:50:46,24.0,35.0,22.096516909219126,19.0,99.99701225280762,99.99701225280762,99.99701225280762,99.99701225280762,mice
2025-11-26 09:50:47,24.0,35.09347507485023,22.292970646117194,19.09188371861513,99.9963720703125,99.9963720703125,99.9963720703125,99.9963720703125,mice
2025-11-26 09:50:48,24.0,35.1,22.203505486002733,19.1,99.99701225280762,99.99701225280762,99.99701225280762,99.99701225280762,mice
2025-11-26 09:50:49,24.0,35.00674160568087,22.10349662071539,19.1,99.99701225280762,99.99701225280762,99.99701225280762,99.99701225280762,mice
2025-11-26 09:50:50,24.0,35.09314789036796,22.19648342087417,19.00844681619254,99.99701225280762,99.99701225280762,99.99701225280762,99.99701225280762,mice
2025-11-26 09:50:51,24.0,35.00696010555321,22.103505239546482,19.0,99.99701225280762,99.99701225280762,99.99701225280762,99.99701225280762,mice
2025-11-26 09:50:52,24.0,35.09293006633607,22.292938280326936,19.0,99.99700927734375,99.99700927734375,99.99700927734375,99.99700927734375,mice
2025-11-26 09:50:53,24.0,34.91433794132898,22.010519866765524,19.0,99.99700927734375,99.99700927734375,99.99700927734375,99.99700927734375,mice
2025-11-26 09:50:54,24.0,34.99263001217914,22.192938998165125,19.091036004110244,99.99701225280762,99.99701225280762,99.99701225280762,99.99701225280762,mice
2025-11-26 09:50:55,24.09709966924882,35.0,22.10352600302952,19.009081744272198,99.99700927734375,99.99700927734375,99.99700927734375,99.99700927734375,mice
2025-11-26 09:50:56,24.002895182960703,35.09240062499568,22.196462994223072,19.0,99.99700927734375,99.99700927734375,99.99700927734375,99.99700927734375,mice
2025-11-26 09:50:57,24.679504638650055,35.376772460080765,31.087743445064774,19.27204552386517,34.88420104980469,34.88420104980469,34.88484191894531,34.88484191894531,mice
2025-11-26 09:50:58,24.02051526517362,35.03141513579297,22.44063781034069,19.11886574074074,99.98668670654297,99.98668670654297,99.98668670654297,99.98668670654297,mice
2025-11-26 09:50:59,24.097054521425587,35.0,22.389141598381315,19.1,99.99700927734375,99.99700927734375,99.99700927734375,99.99700927734375,mice
2025-11-26 09:51:00,24.1,35.09192366981951,22.11080256371307,19.1,99.99700927734375,99.99700927734375,99.99700927734375,99.99700927734375,mice
2025-11-26 09:51:01,24.002945069198482,35.008184305245976,22.1,19.1,99.99701225280762,99.99701225280762,99.99701225280762,99.99701225280762,mice
2025-11-26 09:51:02,24.0,35.091702904935865,22.29274294812816,19.1,99.99701225280762,99.99701225280762,99.99701225280762,99.99701225280762,mice
2025-11-26 09:51:03,24.0,35.1,22.20361919654428,19.1,99.99701225280762,99.99701225280762,99.99701225280762,99.99701225280762,mice
2025-11-26 09:51:04,24.0,35.374351454722714,22.77786471052111,19.3695770883514,35.661537170410156,99.9963720703125,30.297805786132812,30.297805786132812,mice
2025-11-26 09:51:05,24.09703386860771,35.125991185020965,22.222306281981243,19.130780412378254,99.989619140625,99.99573181152344,99.99015266418456,99.989619140625,mice
2025-11-26 09:51:06,24.002961572116956,35.00877284778117,22.2,19.1,99.99701225280762,99.99701225280762,99.99701225280762,99.99701225280762,mice
2025-11-26 09:51:07,24.0,35.09111607422475,22.2,19.01047687389759,99.99701225280762,99.99701225280762,30.298446655273438,30.298446655273438,mice
2025-11-26 09:51:08,56.35955860578147,35.1,22.392509794845157,19.08940658198645,31.37146759033203,31.37146759033203,99.99126541137696,99.99126541137696,mice
2025-11-26 09:51:09,25.078695224342304,35.19088921069308,22.2074531347287,19.18928382629866,99.9872183227539,99.9872183227539,99.9963720703125,99.9963720703125,mice
2025-11-26 09:51:10,24.0,35.2,22.2,19.2,99.99701225280762,99.99669212341308,99.99669212341308,99.99701225280762,mice
