Dataset,Melhor modelo,Acuracia,F1-macro,Persistencia,Majoritaria,Ganho sobre persistencia,Classes,n treino,n teste
D1,LogisticRegression,1.0,1.0,1.0,1.0,0.0,2,2876,713
D1b,LogisticRegression,0.9845722300140253,0.496113074204947,0.9719495091164095,0.9845722300140253,0.012622720897615736,2,2876,713
D2,LogisticRegression,0.7117241379310345,0.20789685737308622,0.5558620689655173,0.7117241379310345,0.15586206896551724,4,2925,725
D2b,LogisticRegression,0.8450899031811895,0.2290104947526237,0.7233748271092669,0.8450899031811895,0.12171507607192256,4,2917,723
D3,LogisticRegression,0.6129476584022039,0.19000853970964987,0.4476584022038568,0.6129476584022039,0.1652892561983471,4,2927,726
D3b,LogisticRegression,0.9475862068965517,0.3243626062322946,0.8979310344827586,0.9475862068965517,0.049655172413793136,4,2923,725
D4,SVC,0.75,0.3084242746872505,0.6544502617801047,0.2604712041884817,0.09554973821989532,4,3077,764
D4b,LogisticRegression,0.8393574297188755,0.22816593886462883,0.7402945113788487,0.8393574297188755,0.09906291834002678,4,3013,747
