datetime,interface,taxa_total_Mbps,banda_disponivel
2025-11-28 02:59:32.101074944,s3-eth2,0.0,100.0
2025-11-28 02:59:32.101474048,s1-eth1,0.0,100.0
2025-11-28 02:59:32.101512960,s2-eth2,0.0,100.0
2025-11-28 02:59:33.101763840,s3-eth2,91.34341430664062,8.656585693359375
2025-11-28 02:59:33.102370048,s1-eth1,91.35617065429688,8.643829345703125
2025-11-28 02:59:33.102433792,s2-eth2,91.36689758300781,8.633102416992188
2025-11-28 02:59:34.102725888,s3-eth2,91.35984802246094,8.640151977539062
2025-11-28 02:59:34.103472896,s1-eth1,91.29203796386719,8.707962036132812
2025-11-28 02:59:34.103566848,s2-eth2,91.28068542480469,8.719314575195312
2025-11-28 02:59:35.103881984,s3-eth2,91.29203796386719,8.707962036132812
2025-11-28 02:59:35.104631808,s1-eth1,91.29203796386719,8.707962036132812
2025-11-28 02:59:35.104717056,s2-eth2,91.29203796386719,8.707962036132812
2025-11-28 02:59:36.105021952,s3-eth2,91.28068542480469,8.719314575195312
2025-11-28 02:59:36.105763840,s1-eth1,91.28068542480469,8.719314575195312
2025-11-28 02:59:36.105856768,s2-eth2,91.28068542480469,8.719314575195312
2025-11-28 02:59:37.106158080,s3-eth2,91.29203796386719,8.707962036132812
2025-11-28 02:59:37.106937856,s1-eth1,91.28068542480469,8.719314575195312
2025-11-28 02:59:37.107022080,s2-eth2,91.29203796386719,8.707962036132812
2025-11-28 02:59:38.107326976,s3-eth2,91.2845230102539,8.715476989746094
2025-11-28 02:59:38.108078080,s1-eth1,91.2845230102539,8.715476989746094
2025-11-28 02:59:38.108162048,s2-eth2,91.29588317871094,8.704116821289062
2025-11-28 02:59:39.108786944,s3-eth2,91.31475830078125,8.68524169921875
2025-11-28 02:59:39.110769920,s1-eth1,91.32572937011719,8.674270629882812
2025-11-28 02:59:39.111020032,s2-eth2,91.34841918945312,8.651580810546875
2025-11-28 02:59:40.111716096,s3-eth2,91.36051177978516,8.639488220214844
2025-11-28 02:59:40.113699840,s1-eth1,91.3597640991211,8.640235900878906
2025-11-28 02:59:40.113956864,s2-eth2,91.33707427978516,8.662925720214844
2025-11-28 02:59:41.114646784,s3-eth2,91.3597640991211,8.640235900878906
2025-11-28 02:59:41.116643840,s1-eth1,91.37185668945312,8.628143310546875
2025-11-28 02:59:41.116869888,s2-eth2,91.37110900878906,8.628890991210938
2025-11-28 02:59:42.117683968,s3-eth2,91.26941680908203,8.730583190917969
2025-11-28 02:59:42.119678976,s1-eth1,91.2686767578125,8.7313232421875
2025-11-28 02:59:42.119913216,s2-eth2,91.26941680908203,8.730583190917969
2025-11-28 02:59:43.120599040,s3-eth2,91.37110900878906,8.628890991210938
2025-11-28 02:59:43.122598912,s1-eth1,91.34841918945312,8.651580810546875
2025-11-28 02:59:43.122827008,s2-eth2,91.37110900878906,8.628890991210938
2025-11-28 02:59:44.123217152,s3-eth2,45.73036193847656,54.26963806152344
2025-11-28 02:59:44.123969024,s1-eth1,45.76469039916992,54.23530960083008
2025-11-28 02:59:44.124058880,s2-eth2,45.651126861572266,54.348873138427734
2025-11-28 02:59:45.124353792,s3-eth2,79.50405883789062,20.495941162109375
2025-11-28 02:59:45.125085184,s1-eth1,79.51541137695312,20.484588623046875
2025-11-28 02:59:45.125164032,s2-eth2,79.50405883789062,20.495941162109375
2025-11-28 02:59:46.125462016,s3-eth2,79.51541137695312,20.484588623046875
2025-11-28 02:59:46.126189824,s1-eth1,79.51541137695312,20.484588623046875
2025-11-28 02:59:46.126273024,s2-eth2,79.51541137695312,20.484588623046875
2025-11-28 02:59:47.126683904,s3-eth2,79.50405883789062,20.495941162109375
2025-11-28 02:59:47.127425792,s1-eth1,79.52677154541016,20.473228454589844
2025-11-28 02:59:47.127508992,s2-eth2,79.52677154541016,20.473228454589844
2025-11-28 02:59:48.127810048,s3-eth2,79.4926986694336,20.507301330566406
2025-11-28 02:59:48.128550912,s1-eth1,79.4926986694336,20.507301330566406
2025-11-28 02:59:48.128637184,s2-eth2,79.4926986694336,20.507301330566406
2025-11-28 02:59:49.128928000,s3-eth2,79.50405883789062,20.495941162109375
2025-11-28 02:59:49.129658880,s1-eth1,79.51541137695312,20.484588623046875
2025-11-28 02:59:49.129741056,s2-eth2,79.50405883789062,20.495941162109375
2025-11-28 02:59:50.130029824,s3-eth2,79.51541137695312,20.484588623046875
2025-11-28 02:59:50.130906112,s1-eth1,79.4926986694336,20.507301330566406
2025-11-28 02:59:50.130991104,s2-eth2,79.4926986694336,20.507301330566406
2025-11-28 02:59:51.131284992,s3-eth2,79.52677154541016,20.473228454589844
2025-11-28 02:59:51.132056832,s1-eth1,79.51541137695312,20.484588623046875
2025-11-28 02:59:51.132143872,s2-eth2,79.5373764038086,20.462623596191406
2025-11-28 02:59:52.132448000,s3-eth2,79.51541137695312,20.484588623046875
2025-11-28 02:59:52.133182976,s1-eth1,79.51541137695312,20.484588623046875
2025-11-28 02:59:52.133268224,s2-eth2,79.50479888916016,20.495201110839844
2025-11-28 02:59:53.133555968,s3-eth2,79.4926986694336,20.507301330566406
2025-11-28 02:59:53.134289920,s1-eth1,79.50405883789062,20.495941162109375
2025-11-28 02:59:53.134372096,s2-eth2,79.50331115722656,20.496688842773438
2025-11-28 02:59:54.134659072,s3-eth2,79.51466369628906,20.485336303710938
2025-11-28 02:59:54.135410176,s1-eth1,79.51541137695312,20.484588623046875
2025-11-28 02:59:54.135500800,s2-eth2,79.51541137695312,20.484588623046875
2025-11-28 02:59:55.135785984,s3-eth2,79.4926986694336,20.507301330566406
2025-11-28 02:59:55.136519936,s1-eth1,79.50405883789062,20.495941162109375
2025-11-28 02:59:55.136603136,s2-eth2,79.50405883789062,20.495941162109375
2025-11-28 02:59:56.136893952,s3-eth2,53.549564361572266,46.450435638427734
2025-11-28 02:59:56.137626880,s1-eth1,54.19688034057617,45.80311965942383
2025-11-28 02:59:56.137712896,s2-eth2,53.629058837890625,46.370941162109375
2025-11-28 02:59:57.138017024,s3-eth2,64.3824234008789,35.617576599121094
2025-11-28 02:59:57.138767872,s1-eth1,63.76918029785156,36.23081970214844
2025-11-28 02:59:57.138854144,s2-eth2,64.29157257080078,35.70842742919922
2025-11-28 02:59:58.139144960,s3-eth2,73.62142181396484,26.378578186035156
2025-11-28 02:59:58.139878144,s1-eth1,73.61006164550781,26.389938354492188
2025-11-28 02:59:58.139968000,s2-eth2,73.62142181396484,26.378578186035156
2025-11-28 02:59:59.140263168,s3-eth2,73.63341522216797,26.36658477783203
2025-11-28 02:59:59.141010944,s1-eth1,73.62142181396484,26.378578186035156
2025-11-28 02:59:59.141093888,s2-eth2,73.62205505371094,26.377944946289062
2025-11-28 03:00:00.141361920,s3-eth2,73.61006164550781,26.389938354492188
2025-11-28 03:00:00.141891840,s1-eth1,73.67230224609375,26.32769775390625
2025-11-28 03:00:00.141957888,s2-eth2,73.66093444824219,26.339065551757812
2025-11-28 03:00:01.142195968,s3-eth2,73.66093444824219,26.339065551757812
2025-11-28 03:00:01.142713088,s1-eth1,73.69503784179688,26.304962158203125
2025-11-28 03:00:01.142771968,s2-eth2,73.68367004394531,26.316329956054688
2025-11-28 03:00:02.143027968,s3-eth2,73.67155456542969,26.328445434570312
2025-11-28 03:00:02.143568896,s1-eth1,73.67230224609375,26.32769775390625
2025-11-28 03:00:02.143634176,s2-eth2,73.67230224609375,26.32769775390625
2025-11-28 03:00:03.143887104,s3-eth2,73.66093444824219,26.339065551757812
2025-11-28 03:00:03.144412160,s1-eth1,73.66093444824219,26.339065551757812
2025-11-28 03:00:03.144471040,s2-eth2,73.68367004394531,26.316329956054688
2025-11-28 03:00:04.144711936,s3-eth2,73.68367004394531,26.316329956054688
2025-11-28 03:00:04.145231104,s1-eth1,73.67230224609375,26.32769775390625
2025-11-28 03:00:04.145294848,s2-eth2,73.66093444824219,26.339065551757812
2025-11-28 03:00:05.145529088,s3-eth2,73.673583984375,26.326416015625
2025-11-28 03:00:05.146051840,s1-eth1,73.66157531738281,26.338424682617188
2025-11-28 03:00:05.146112000,s2-eth2,73.673583984375,26.326416015625
2025-11-28 03:00:06.146354944,s3-eth2,73.67230224609375,26.32769775390625
2025-11-28 03:00:06.146883072,s1-eth1,73.66018676757812,26.339813232421875
2025-11-28 03:00:06.146946048,s2-eth2,73.63819885253906,26.361801147460938
2025-11-28 03:00:07.147186944,s3-eth2,73.66093444824219,26.339065551757812
2025-11-28 03:00:07.147713792,s1-eth1,73.68431091308594,26.315689086914062
2025-11-28 03:00:07.147773952,s2-eth2,73.69503784179688,26.304962158203125
2025-11-28 03:00:08.148019968,s3-eth2,73.67230224609375,26.32769775390625
2025-11-28 03:00:08.148539904,s1-eth1,73.68367004394531,26.316329956054688
2025-11-28 03:00:08.148602880,s2-eth2,73.67230224609375,26.32769775390625
2025-11-28 03:00:09.148829952,s3-eth2,42.67295837402344,57.32704162597656
2025-11-28 03:00:09.149458944,s1-eth1,42.64958190917969,57.35041809082031
2025-11-28 03:00:09.149527040,s2-eth2,42.6949462890625,57.3050537109375
2025-11-28 03:00:10.149796096,s3-eth2,77.61692810058594,22.383071899414062
2025-11-28 03:00:10.150425856,s1-eth1,77.60556030273438,22.394439697265625
2025-11-28 03:00:10.150490112,s2-eth2,77.60556030273438,22.394439697265625
2025-11-28 03:00:11.150733824,s3-eth2,77.61756896972656,22.382431030273438
2025-11-28 03:00:11.151355904,s1-eth1,77.606201171875,22.393798828125
2025-11-28 03:00:11.151429888,s2-eth2,77.606201171875,22.393798828125
2025-11-28 03:00:12.151683072,s3-eth2,77.60556030273438,22.394439697265625
2025-11-28 03:00:12.152214016,s1-eth1,77.60556030273438,22.394439697265625
2025-11-28 03:00:12.152278016,s2-eth2,77.60556030273438,22.394439697265625
2025-11-28 03:00:13.152509952,s3-eth2,77.606201171875,22.393798828125
2025-11-28 03:00:13.153104128,s1-eth1,90.95358276367188,9.046417236328125
2025-11-28 03:00:13.153171968,s2-eth2,91.05224609375,8.94775390625
2025-11-28 03:00:14.153445888,s3-eth2,77.606201171875,22.393798828125
2025-11-28 03:00:14.154019072,s1-eth1,95.39385986328125,4.60614013671875
2025-11-28 03:00:14.154093056,s2-eth2,95.42782592773438,4.572174072265625
2025-11-28 03:00:15.154315008,s3-eth2,77.59483337402344,22.405166625976562
2025-11-28 03:00:15.154903808,s1-eth1,95.51852416992188,4.481475830078125
2025-11-28 03:00:15.154973952,s2-eth2,95.50711059570312,4.492889404296875
2025-11-28 03:00:16.155214080,s3-eth2,77.60556030273438,22.394439697265625
2025-11-28 03:00:16.155771136,s1-eth1,95.44731140136719,4.5526885986328125
2025-11-28 03:00:16.155836160,s2-eth2,95.4483642578125,4.5516357421875
2025-11-28 03:00:17.156105984,s3-eth2,77.60556030273438,22.394439697265625
2025-11-28 03:00:17.156659968,s1-eth1,144.9910125732422,-44.99101257324219
2025-11-28 03:00:17.156727040,s2-eth2,82.46066284179688,17.539337158203125
2025-11-28 03:00:18.156989184,s3-eth2,77.59419250488281,22.405807495117188
2025-11-28 03:00:18.157511936,s1-eth1,73.23230743408203,26.76769256591797
2025-11-28 03:00:18.157576960,s2-eth2,93.13653564453125,6.86346435546875
2025-11-28 03:00:19.157841920,s3-eth2,77.59344482421875,22.40655517578125
2025-11-28 03:00:19.158399232,s1-eth1,73.88829040527344,26.111709594726562
2025-11-28 03:00:19.158467072,s2-eth2,95.45198059082031,4.5480194091796875
2025-11-28 03:00:20.158723072,s3-eth2,77.61805725097656,22.381942749023438
2025-11-28 03:00:20.159287808,s1-eth1,75.62738037109375,24.37261962890625
2025-11-28 03:00:20.159353088,s2-eth2,95.59634399414062,4.403656005859375
2025-11-28 03:00:21.159614976,s3-eth2,65.90373992919922,34.09626007080078
2025-11-28 03:00:21.160208896,s1-eth1,76.34685516357422,23.65314483642578
2025-11-28 03:00:21.160273152,s2-eth2,81.64301300048828,18.35698699951172
2025-11-28 03:00:22.160561152,s3-eth2,108.83527374267578,-8.835273742675781
2025-11-28 03:00:22.161161984,s1-eth1,115.47986602783203,-15.479866027832031
2025-11-28 03:00:22.161222912,s2-eth2,116.35424041748047,-16.35424041748047
2025-11-28 03:00:23.161519104,s3-eth2,81.53945922851562,18.460540771484375
2025-11-28 03:00:23.162085120,s1-eth1,95.46772766113281,4.5322723388671875
2025-11-28 03:00:23.162146048,s2-eth2,95.46842956542969,4.5315704345703125
2025-11-28 03:00:24.162429952,s3-eth2,93.06820678710938,6.931793212890625
2025-11-28 03:00:24.163037952,s1-eth1,162.4128875732422,-62.41288757324219
2025-11-28 03:00:24.163102976,s2-eth2,95.52949523925781,4.4705047607421875
2025-11-28 03:00:25.163391232,s3-eth2,95.46797180175781,4.5320281982421875
2025-11-28 03:00:25.163981824,s1-eth1,92.5796890258789,7.420310974121094
2025-11-28 03:00:25.164043776,s2-eth2,98.30508422851562,1.694915771484375
2025-11-28 03:00:26.164324096,s3-eth2,95.5582275390625,4.4417724609375
2025-11-28 03:00:26.164890880,s1-eth1,88.1072769165039,11.892723083496094
2025-11-28 03:00:26.164953856,s2-eth2,102.56587982177734,-2.5658798217773438
2025-11-28 03:00:27.165238016,s3-eth2,95.46440124511719,4.5355987548828125
2025-11-28 03:00:27.165810944,s1-eth1,154.80792236328125,-54.80792236328125
2025-11-28 03:00:27.165875968,s2-eth2,115.33189392089844,-15.331893920898438
2025-11-28 03:00:28.166168064,s3-eth2,95.46212768554688,4.537872314453125
2025-11-28 03:00:28.166734848,s1-eth1,92.72476959228516,7.275230407714844
2025-11-28 03:00:28.166800896,s2-eth2,135.80810546875,-35.80810546875
2025-11-28 03:00:29.167046144,s3-eth2,153.03993225097656,-53.03993225097656
2025-11-28 03:00:29.167618048,s1-eth1,95.54415130615234,4.455848693847656
2025-11-28 03:00:29.167686912,s2-eth2,97.22205352783203,2.7779464721679688
2025-11-28 03:00:30.167970048,s3-eth2,103.55036163330078,-3.5503616333007812
2025-11-28 03:00:30.168577792,s1-eth1,95.47063446044922,4.529365539550781
2025-11-28 03:00:30.168646144,s2-eth2,173.73175048828125,-73.73175048828125
2025-11-28 03:00:31.168941056,s3-eth2,128.26824951171875,-28.26824951171875
