,0,1,5,15,30,60,mean (H>0),std (H>0)
DecisionTree,0.7172131147540983,0.5882352941176471,0.4834710743801653,0.4803921568627451,0.4942528735632184,0.553030303030303,0.5198763403908158,0.04825204137592821
ExtraTrees,0.744535519125683,0.6292749658002736,0.5344352617079889,0.49299719887955185,0.5186781609195402,0.5636363636363636,0.5478043901887436,0.052247021734974634
GaussianNB,0.6366120218579235,0.6019151846785226,0.5922865013774105,0.5644257703081232,0.5675287356321839,0.5757575757575758,0.5803827535507632,0.01617550743460429
KNeighbors,0.7158469945355191,0.6292749658002736,0.41046831955922863,0.47058823529411764,0.48419540229885055,0.4348484848484849,0.4858750815601911,0.08527885013105758
LogisticRegression,0.6871584699453552,0.6415868673050615,0.6005509641873278,0.5854341736694678,0.5790229885057471,0.5848484848484848,0.5982886957032179,0.025479869510612815
RandomForest,0.7336065573770492,0.6566347469220246,0.5413223140495868,0.5322128851540616,0.521551724137931,0.5681818181818182,0.5639806976890844,0.05460136516533733
SVC,0.7377049180327869,0.6812585499316005,0.6088154269972452,0.6120448179271709,0.610632183908046,0.6121212121212121,0.6249744381770549,0.03149244209200481
baseline: persistência,1.0,0.6238030095759234,0.4476584022038568,0.43557422969187676,0.4410919540229885,0.5166666666666667,0.49295885243226245,0.08018346896798406
baseline: classe majoritária,0.6092896174863388,0.6087551299589603,0.6129476584022039,0.6162464985994398,0.6163793103448276,0.6136363636363636,0.613592992188359,0.0031075678943271487
